"Story","Title","Result","Date","Stability","Duration (s)"
"Get List Favorite","As a user I can't get list favorite without path","SUCCESS","2023-12-20T03:58:50.326261+07:00[Asia/Jakarta]","0.0","1.17"
"Get Bank Virtual Account","As a user I can't get bank virtual account without path","SUCCESS","2023-12-20T03:58:53.077438+07:00[Asia/Jakarta]","0.0","1.05"
"Get Payment Method","As a user I can't get payment method without path","SUCCESS","2023-12-20T03:58:55.297441+07:00[Asia/Jakarta]","0.0","1.06"
"Payment Checkout","As a user I can't payment checkout without path","SUCCESS","2023-12-20T03:59:01.824933+07:00[Asia/Jakarta]","0.0","1.21"
"Payment Checkout","As a user I can't payment checkout if I don't fill in the payment checkout request","SUCCESS","2023-12-20T03:59:03.057201+07:00[Asia/Jakarta]","0.0","1.09"
"Payment Checkout","As a user I can't payment checkout if I don't fill in the payment method ID request","SUCCESS","2023-12-20T03:59:04.168252+07:00[Asia/Jakarta]","0.0","1.15"
"Payment Checkout","As a user I can't payment checkout if I don't fill in the installment ID request","SUCCESS","2023-12-20T03:59:05.336218+07:00[Asia/Jakarta]","0.0","1.02"
"Payment Checkout","As a user I can't payment checkout if I don't fill in the data payment bank code request","SUCCESS","2023-12-20T03:59:06.371776+07:00[Asia/Jakarta]","0.0","1.23"
"Payment Checkout","As a user I can't payment checkout if the installment ID payment has previously been made","SUCCESS","2023-12-20T03:59:07.615506+07:00[Asia/Jakarta]","0.0","1.57"
"Get Avatar","As a user I can't get avatar data with an invalid path","SUCCESS","2023-12-20T03:59:10.401052+07:00[Asia/Jakarta]","0.0","1.16"
"Get Profile","As a user I can't get profile without path","SUCCESS","2023-12-20T03:59:13.397136+07:00[Asia/Jakarta]","0.0","1.21"
"Update Email","As a user I can't update email without path","SUCCESS","2023-12-20T03:59:14.624061+07:00[Asia/Jakarta]","0.0","1.14"
"Update Email","As a user I can't update email if I don't fill in the update email request","SUCCESS","2023-12-20T03:59:15.778758+07:00[Asia/Jakarta]","0.0","1.14"
"Update Email","As a user I can't update email if I fill in email already regist in database","SUCCESS","2023-12-20T03:59:16.937222+07:00[Asia/Jakarta]","0.0","1.22"
"Update Email","As a user I can't update email if the email request format is not appropriate (e.g.","SUCCESS","2023-12-20T03:59:18.17878+07:00[Asia/Jakarta]","0.0","1.01"
"Update Photo Profile","As a user I can't update photo profile without path","SUCCESS","2023-12-20T03:59:20.726302+07:00[Asia/Jakarta]","0.0","1.07"
"Update Photo Profile","As a user I can't update photo profile if I don't fill in the update photo profile request","SUCCESS","2023-12-20T03:59:21.819965+07:00[Asia/Jakarta]","0.0","1.13"
"Update Username","As a user I can't update username without path","SUCCESS","2023-12-20T03:59:24.495433+07:00[Asia/Jakarta]","0.0","1.28"
"Update Username","As a user I can't update username if I don't fill in the update username request","SUCCESS","2023-12-20T03:59:25.791279+07:00[Asia/Jakarta]","0.0","1.06"
"Upload Photo","As a user I can't upload photo without path","SUCCESS","2023-12-20T03:59:30.782649+07:00[Asia/Jakarta]","0.0","0.97"
"Upload Photo","As a user I can't upload photo if I don't fill in the upload photo request","SUCCESS","2023-12-20T03:59:31.773973+07:00[Asia/Jakarta]","0.0","1.09"
"Upload Photo","As a user I can't upload photo if the photo request format is not appropriate (e.g. other than","SUCCESS","2023-12-20T03:59:32.881713+07:00[Asia/Jakarta]","0.0","1.27"
"Upload Photo","As a user I can't upload photo if size more than 5 MB","SUCCESS","2023-12-20T03:59:34.160653+07:00[Asia/Jakarta]","0.0","33.07"
"Get All District","As a user I can't get all district data with an invalid path","SUCCESS","2023-12-20T04:00:07.720751+07:00[Asia/Jakarta]","0.0","0.23"
"Get All Province","As a user I can't get all province data with an invalid path","SUCCESS","2023-12-20T04:00:08.285112+07:00[Asia/Jakarta]","0.0","0.17"
"Get All Regency","As a user I can't get all regency data with an invalid path","SUCCESS","2023-12-20T04:00:08.912362+07:00[Asia/Jakarta]","0.0","0.22"
"Register Data User","As a user I can't register data user without path","SUCCESS","2023-12-20T04:00:09.975943+07:00[Asia/Jakarta]","0.0","0.2"
"Register Data User","As a user I can't register data user if I don't fill in the register data user request","SUCCESS","2023-12-20T04:00:10.188926+07:00[Asia/Jakarta]","0.0","0.2"
"Register Data User","As a user I can't register data user with an invalid email","SUCCESS","2023-12-20T04:00:10.396875+07:00[Asia/Jakarta]","0.0","0.31"
"Get Installment List","As a user I can't get installment list without path","SUCCESS","2023-12-20T04:00:12.113414+07:00[Asia/Jakarta]","0.0","1.22"
"Get My Warehouse Rental","As a user I can't get my warehouse rental without path","SUCCESS","2023-12-20T04:00:15.422394+07:00[Asia/Jakarta]","0.0","1.19"
"Get My Warehouse Submitted","As a user I can't get my warehouse submitted without path","SUCCESS","2023-12-20T04:00:18.682681+07:00[Asia/Jakarta]","0.0","1.23"
"Get Transaction Info","As a user I can't get transaction info without path","SUCCESS","2023-12-20T04:00:21.530705+07:00[Asia/Jakarta]","0.0","1.31"
